"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","CICADOIDEA","CICADOIDEA","","","","","","Valid Name","","Superfamily","","","","Y","dcef0d81-722e-4ef7-95ef-5d2b8bfec3c5","20210902T08:44:21.615+0000","1ad1dc67-24fd-462d-b887-3faa78200d0b","20220510T10:33:38.232+0000","21f13304-514d-46af-a457-7e0eab70979f","1ad1dc67-24fd-462d-b887-3faa78200d0b","","","","","","","","","","","","","","",""
"","","Cicadas","","","","","","","Common Name","","Superfamily","","","","","5f96b6d3-acb2-4271-86af-b2a1ae035c56","20210902T08:44:21.615+0000","1ad1dc67-24fd-462d-b887-3faa78200d0b","20220510T10:33:38.232+0000","","","","","","","","","","","","","","","","",""
"","","CICADIDAE","CICADIDAE","","","","","","Valid Name","","Family","","","","Y","cc8086dd-8f0f-48d8-8935-165994a93713","20250729T23:16:11.865+0000","b0284d28-dc6d-4a7a-a213-3b5f44dfdfff","20250729T23:16:11.865+0000","1ad1dc67-24fd-462d-b887-3faa78200d0b","b0284d28-dc6d-4a7a-a213-3b5f44dfdfff","","","","","","","","","","","","","","",""
"","","CICADINAE","CICADINAE","CICADIDAE","","","","","Valid Name","","Subfamily","","","","Y","1c127a36-e4b4-4597-b54e-370c9def5639","20250530T00:56:36.273+0000","2435653f-8280-4c43-970e-b5f4ab166519","20250723T09:00:36.347+0000","b0284d28-dc6d-4a7a-a213-3b5f44dfdfff","2435653f-8280-4c43-970e-b5f4ab166519","","","","","","","","","","","","","","",""
"","","Arenopsaltriini","Arenopsaltriini","CICADIDAE","","","","","Valid Name","","Tribe","","","","Y","c42695b2-4991-47f2-9b71-d47b6cfde076","20250530T00:56:36.273+0000","c511c09f-d3cd-46b1-ae31-09258d69d1b6","20250729T23:16:11.865+0000","2435653f-8280-4c43-970e-b5f4ab166519","c511c09f-d3cd-46b1-ae31-09258d69d1b6","","","","","","","","","","","","","","",""
"","","Henicopsaltria","Henicopsaltria Stål, 1866","CICADIDAE","Henicopsaltria","","","","Valid Name","","Genus","","Stål","1866","Y","e23289b9-1143-4292-9957-7dc10c70b5c0","20250530T00:56:36.273+0000","640f995a-e649-4529-8c02-4eeae912f431","20250729T23:16:11.865+0000","c511c09f-d3cd-46b1-ae31-09258d69d1b6","640f995a-e649-4529-8c02-4eeae912f431","","","","","","","","","","","","","","",""
"","","Henicopsaltria","Henicopsaltria","","Henicopsaltria","","","","Synonym","synonym","Genus","","","","Y","7c1849f7-7064-4602-a26f-ecf12b66056c","20250530T00:56:36.273+0000","640f995a-e649-4529-8c02-4eeae912f431","20250729T23:16:11.865+0000","","47828f85-1f8d-467f-aa97-719fa7fe6e4c","Stål, C.","1866","Hemiptera Africana","1-276, pl. 1","","","","","Officina Norstedtiana","<!--MARK--><a href='nullc0178e83-6a42-40f0-9877-7427cb464f60' class='mouseoverHref'>Stål, C. 1866. <em>Hemiptera Africana</em>. Holmiae : Officina Norstedtiana Vol. 4 1-276, pl. 1.</a><!--MARK-->","","Book","c0178e83-6a42-40f0-9877-7427cb464f60","20081009T05:11:37.000+0000",""
"","","danielsi","Henicopsaltria danielsi Moulds, 1993","CICADIDAE","Henicopsaltria","","danielsi","","Valid Name","","Species","","Moulds","1993","Y","977407b5-6b68-4566-80a5-0694b4cbffa4","20250530T00:56:36.273+0000","74849f16-2f22-4682-a093-f4f30ba6322b","20250729T23:16:11.865+0000","640f995a-e649-4529-8c02-4eeae912f431","74849f16-2f22-4682-a093-f4f30ba6322b","","","","","","","","","","","","","","",""
"","","danielsi","Henicopsaltria danielsi Moulds, 1993","","Henicopsaltria","","danielsi","","Synonym","synonym","Species","","Moulds","1993","Y","7f174f83-2c07-44d4-a1be-740aced8236c","20250530T00:56:36.273+0000","74849f16-2f22-4682-a093-f4f30ba6322b","20250729T23:16:11.865+0000","","ed1f08a2-28ad-4127-87fe-a9884e57ea0b","Moulds, M.S.","1993","<i>Henicopsaltria danielsi</i> sp.n. and a new locality for <i>H. eydouxii</i> (Hemiptera: Auchenorrhyncha: Cicadidae)","23-26","","General and Applied Entomology","","","","<!--MARK--><a href='nullbdb3ab4c-9319-4ac2-baba-541e53fc4171' class='mouseoverHref'>Moulds, M.S. 1993. <i>Henicopsaltria danielsi</i> sp.n. and a new locality for <i>H. eydouxii</i> (Hemiptera: Auchenorrhyncha: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null7f6c6200-1dda-4b05-a6e0-2c3387a6cd38' class='mouseoverHref'><em>General and Applied Entomology</em></a> <strong>25</strong>: 23-26<!--MARK-->","","Article in Journal","bdb3ab4c-9319-4ac2-baba-541e53fc4171","20081009T05:11:37.000+0000","7f6c6200-1dda-4b05-a6e0-2c3387a6cd38"
"","","eydouxii","Henicopsaltria eydouxii (Guérin-Méneville, 1838)","CICADIDAE","Henicopsaltria","","eydouxii","","Valid Name","","Species","","Guérin-Méneville","1838","N","928ea895-3082-4bfa-94e6-46cd5e99c561","20250530T00:56:36.273+0000","0a06d247-f775-465e-bab9-0dbcd063eae5","20250729T23:16:11.865+0000","640f995a-e649-4529-8c02-4eeae912f431","0a06d247-f775-465e-bab9-0dbcd063eae5","","","","","","","","","","","","","","",""
